,1950s,1960s,1970s
danceability,0.4770692330827067,0.49665123000000005,0.52692
energy,0.2870322796992481,0.41579556219999997,0.5385437939000001
speechiness,0.09683757393483709,0.058818354999999996,0.060664675
tempo,110.60190305764411,115.47364740000002,120.12671675
