year,artists,name,energy,danceability,speechiness,tempo
1928,"[Robert Schumann, Vladimir Horowitz]","Humoreske, Op. 20: Innig",0.0184,0.46799999999999997,0.0447,59.38
1928,[Ignacio Corsini],La Carreta - Remasterizado,0.192,0.698,0.128,78.218
1928,"[Francisco Canaro, Charlo]","Dentra, No Llores - Remasterizado",0.207,0.836,0.152,112.369
1928,"[Frédéric Chopin, Vladimir Horowitz]","Barcarolle, Op. 60",0.113,0.233,0.0397,64.082
1928,[Paul Whiteman],Id Rather Cry Over You,0.192,0.6409999999999999,0.04,106.052
1928,"[Francisco Canaro, Charlo]",En un Pueblito de España - Remasterizado,0.195,0.461,0.0609,76.419
1928,"[Muzio Clementi, Vladimir Horowitz]","Sonata quasi Concerto, Op. 33, No. 3 in C: II. Adagio e cantabile, con espressione",0.0113,0.222,0.043,74.04
1928,[Ignacio Corsini],Caido del Cielo - Remasterizado,0.315,0.431,0.0464,65.735
1928,[Ted Weems & His Orchestra],"Chick, Chick, Chick, Chick, Chicken - Lay A Little Egg For Me",0.37,0.8390000000000001,0.08,115.06299999999999
1928,"[Francisco Canaro, Charlo]",Triste Paica - Remasterizado,0.19899999999999998,0.8290000000000001,0.0619,116.214
1928,[Ignacio Corsini],Piedad - Remasterizado,0.14800000000000002,0.7090000000000001,0.0775,122.415
1928,[Taj Mahal],Country Blues #1,0.204,0.5710000000000001,0.0328,129.289
1928,[Francisco Canaro],La Cabeza del Italiano - Instrumental (Remasterizado),0.215,0.8079999999999999,0.0851,110.89399999999999
1928,"[Robert Schumann, Vladimir Horowitz]","Humoreske, Op. 20: Intermezzo",0.124,0.368,0.0371,128.418
1928,[Seweryn Goszczyński],Chapter 2.23 - Zamek kaniowski,0.28600000000000003,0.72,0.9390000000000001,114.059
1928,"[Muzio Clementi, Vladimir Horowitz]","Rondo, No. 2",0.0916,0.317,0.0411,80.74
1928,[John Raitt],Wheres the Mate for Me?,0.146,0.33299999999999996,0.0353,75.372
1928,[Francisco Canaro],Pájaro Azul - Instrumental (Remasterizado),0.187,0.613,0.255,116.325
1928,[Ted Weems & His Orchestra],It Was Only A Sun Shower,0.49,0.757,0.035,105.734
1928,"[Frédéric Chopin, Vladimir Horowitz]","Andante spianato in E-Flat Major, Op. 22",0.0891,0.188,0.0326,59.946000000000005
1928,[Francisco Canaro],Che Italiano - Instrumental (Remasterizado),0.249,0.858,0.22399999999999998,115.85799999999999
1928,[Paul Whiteman],Chiquita,0.0454,0.441,0.0463,133.475
1928,[Ignacio Corsini],Destellos - Remasterizado,0.127,0.675,0.226,129.58700000000002
1928,"[Samuel Barber, Vladimir Horowitz]","Piano Sonata in E-Flat Minor, Op. 26: II. Allegro vivace e leggero",0.149,0.242,0.0369,88.18799999999999
1928,"[Frédéric Chopin, Vladimir Horowitz]","Étude in G-Flat Major, Op. 10, No. 5 Black Keys",0.0431,0.444,0.040999999999999995,106.06200000000001
1928,[Seweryn Goszczyński],Chapter 2.16 - Zamek kaniowski,0.23399999999999999,0.7909999999999999,0.9470000000000001,37.596
1928,"[Frédéric Chopin, Vladimir Horowitz]","Piano Sonata No. 2, Op. 35: I. Grave - Doppio movimento",0.281,0.272,0.0365,99.27
1928,"[Francisco Canaro, Charlo]",Always - Remasterizado,0.161,0.466,0.0576,75.24
1928,"[Frédéric Chopin, Vladimir Horowitz]","Nocturne in E Minor, Op. 72, No. 1",0.0463,0.28,0.0347,100.131
1928,"[Robert Schumann, Vladimir Horowitz]","Sonata No. 3, Op. 14: III: Variation II",0.263,0.389,0.0354,73.98100000000001
1928,[Paul Whiteman],Reaching for Someone (And Not Finding Anyone There),0.0867,0.523,0.0707,161.687
1928,[Leroy Carr],Midnight Hour Blues,0.19399999999999998,0.754,0.053,84.042
1928,"[Frédéric Chopin, Vladimir Horowitz]","Polonaise-Fantaisie in A-Flat Major, Op. 61",0.0823,0.301,0.0382,137.296
