year,artists,name,energy,danceability,speechiness,tempo
1921,"['Ildebrando Pizzetti', 'Arturo Toscanini']",II. Le quai du porte de Famagouste,0.275,0.251,0.0371,94.264
1921,['Alice Cocéa'],Si J'avais Su,0.256,0.514,0.0871,79.467
1921,"['Sergei Rachmaninoff', 'Ruth Laredo']","12 Songs, Op. 21: No. 5, Lilacs (Version for Piano)",0.0536,0.263,0.0386,129.365
1921,['André Urban'],Elle Porte Un Nom Charmant,0.226,0.426,0.0693,73.63
1921,"['Gaetano Donizetti', 'Arturo Toscanini']",Overture,0.139,0.341,0.0643,68.031
1921,['Mehmet Kemiksiz'],Bakma Kabristanın Saha-i Medhûşuna,0.377,0.19899999999999998,0.0421,180.18099999999998
1921,['Christopher Lynch'],The Minstrel Boy,0.0904,0.418,0.0408,52.008
1921,['Mistinguett'],Une Femme Qui Passe,0.297,0.611,0.0661,122.476
1921,['Morton Downey'],My Wild Irish Rose,0.0926,0.423,0.0437,105.365
1921,['Darüttalim-i Musiki Heyeti'],Şehnaz Longa,0.525,0.38,0.0432,136.156
1921,['Hanende İbrahim Efendi'],Ne İçin Mahzun,0.287,0.264,0.0356,74.301
1921,['Maurice Chevalier'],Pour Bien Reussir Dans La Chaussure,0.271,0.517,0.0551,90.39
1921,"['Sergei Rachmaninoff', 'Michael Tilson Thomas', 'Barry Douglas', 'London Symphony Orchestra']",III. Allegro scherzando,0.0916,0.2,0.0376,65.211
1921,['Ignacio Corsini'],Recordando - Remasterizado,0.105,0.382,0.0408,91.581
1921,['Marcelly'],La Chanson Des Yeux Clos,0.281,0.314,0.0648,78.811
1921,"['Sergei Rachmaninoff', 'Ruth Laredo']","6 Songs, Op. 38: No. 3, Daisies (Version for Piano)",0.0876,0.248,0.0566,82.025
1921,['John McCormack'],Kathleen Mavourneen,0.156,0.39299999999999996,0.0458,136.295
1921,"['Ludwig van Beethoven', 'Arturo Toscanini']",IV. Allegro,0.273,0.305,0.0386,82.801
1921,"['Sergei Rachmaninoff', 'Ruth Laredo']","10 Préludes, Op. 23: No. 5 in G Minor. Alla marcia",0.171,0.384,0.0319,107.698
1921,['THE GUY'],Tigers,0.256,0.341,0.0461,121.051
1921,"['Ludwig van Beethoven', 'Arturo Toscanini']",IV. Finale. Adagio - Allegro molto e vivace,0.259,0.544,0.0437,78.29
1921,['Georgius'],Un Agent Courait,0.40299999999999997,0.502,0.466,67.883
1921,['Ignacio Corsini'],Tortolita y Chingolo - Remasterizado,0.154,0.46399999999999997,0.192,85.405
1921,['Frank Parker'],Danny Boy,0.309,0.275,0.0354,100.109
1921,['Ignacio Corsini'],Santos Vega - Remasterizado,0.124,0.496,0.0505,82.85799999999998
1921,"['Sergei Rachmaninoff', 'Yuri Temirkanov', 'St. Petersburg Philharmonic Orchestra']",III. Adagio,0.0521,0.16,0.0398,86.736
1921,['Ignacio Corsini'],Pobre Mi China - Remasterizado,0.231,0.366,0.28300000000000003,63.24100000000001
1921,['Morton Downey'],That's How You Spell Ireland,0.11699999999999999,0.38,0.0415,86.493
1921,['Mehmet Kemiksiz'],Şühedâ Gövdesi Bir Baksana Dağlar Taşlar,0.385,0.40299999999999997,0.0315,123.839
1921,['Morton Downey'],It's the Same Old Shillelegh,0.33299999999999996,0.8290000000000001,0.10300000000000001,132.606
1921,['Ignacio Corsini'],China Hereje - Remasterizado,0.0322,0.5920000000000001,0.209,69.958
1921,['THE GUY'],Don't Run,0.544,0.708,0.0316,120.0
1921,['Robert Jysor'],Dolorosa,0.231,0.42100000000000004,0.0528,82.76899999999998
1921,['Safiye Ayla'],Perestij,0.315,0.36200000000000004,0.0646,91.551
1921,['Mistinguett'],Oui Non,0.275,0.546,0.309,80.57
