Rank,Track Name,Artist,loudness,speechiness
112,Te Vi,Piso 21,-4.246,0.117
113,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,-4.368,0.0575
114,Adicto (with Anuel AA & Ozuna),Tainy,-4.803,0.0735
115,a lot,21 Savage,-7.643,0.086
116,Saturday Nights,Khalid,-8.559,0.0985
117,Promises (with Sam Smith),Calvin Harris,-5.991,0.0394
118,ROXANNE,Arizona Zervas,-5.616,0.148
119,Rescue Me,OneRepublic,-7.737,0.0433
120,"Yo x Ti, Tu x Mi",ROSALÍA,-3.292,0.225
121,Havana (feat. Young Thug),Camila Cabello,-4.333,0.03
122,Amanece,Anuel AA,-5.549,0.0425
123,Pa Mí - Remix,Dalex,-8.029,0.22
124,Tutu,Camilo,-2.592,0.0503
125,Body (feat. brando),Loud Luxury,-4.399,0.038
126,Psycho (feat. Ty Dolla $ign),Post Malone,-8.094,0.105
127,Photograph,Ed Sheeran,-10.48,0.0476
128,Bad Liar,Imagine Dragons,-6.993,0.0703
129,"10,000 Hours (with Justin Bieber)",Dan + Shay,-4.644,0.0259
130,Closer,The Chainsmokers,-5.599,0.0338
131,Under Pressure - Remastered,Queen,-7.815,0.0476
132,Pure Water (with Migos),Mustard,-5.545,0.129
133,lovely,Billie Eilish,-10.109,0.0333
134,idontwannabeyouanymore,Billie Eilish,-8.461,0.0402
135,Be Alright,Dean Lewis,-7.595,0.034
136,Panini,Lil Nas X,-6.146,0.0752
137,Mo Bamba,Sheck Wes,-5.266,0.0315
138,Only Human,Jonas Brothers,-5.883,0.0722
139,One Thing Right,Marshmello,-2.253,0.0451
140,One Kiss (with Dua Lipa),Calvin Harris,-3.24,0.11
141,bury a friend,Billie Eilish,-14.505,0.332
142,Ransom,Lil Tecca,-6.257,0.287
143,everything i wanted,Billie Eilish,-14.454,0.0994
144,Desconocidos,Mau y Ricky,-4.598,0.166
145,EARFQUAKE,"Tyler, The Creator",-8.866,0.0685
146,Bandit (with YoungBoy Never Broke Again),Juice WRLD,-5.884,0.343
147,The Middle,Zedd,-3.061,0.0449
148,SOS (feat. Aloe Blacc),Avicii,-6.181,0.0715
149,ocean eyes,Billie Eilish,-7.725,0.0361
150,If I Can't Have You,Shawn Mendes,-4.197,0.0623
151,Tal Vez,Paulo Londra,-2.443,0.151
152,7 rings,Ariana Grande,-10.744,0.323
153,Always Remember Us This Way,Lady Gaga,-5.972,0.0409
154,Kill This Love,BLACKPINK,-4.141,0.237
155,Robbery,Juice WRLD,-5.122,0.0457
156,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,-5.844,0.0671
157,Liar,Camila Cabello,-6.684,0.0456
158,Wonderwall - Remastered,Oasis,-4.066,0.0407
159,The London (feat. J. Cole & Travis Scott),Young Thug,-6.946,0.147
160,Takeaway (feat. Lennon Stella),The Chainsmokers,-8.106,0.042
161,Someone You Loved,Lewis Capaldi,-5.679,0.0319
162,SOS,Avicii,-6.181,0.0715
163,all the good girls go to hell,Billie Eilish,-8.922,0.372
164,On My Way,Alan Walker,-4.929,0.102
165,i love you,Billie Eilish,-18.435,0.0382
166,Panini,Lil Nas X,-6.146,0.0752
167,Taste (feat. Offset),Tyga,-7.442,0.12
168,Wake Up in the Sky,Gucci Mane,-5.144,0.0485
169,You Need To Calm Down,Taylor Swift,-5.604,0.0507
170,Pop Out (feat. Lil Tjay),Polo G,-7.119,0.467
171,All I Want for Christmas Is You,Mariah Carey,-7.462,0.0386
172,no tears left to cry,Ariana Grande,-5.507,0.0594
173,Lover,Taylor Swift,-7.582,0.0919
174,Take What You Want (feat. Ozzy Osbourne & Travis Scott),Post Malone,-2.665,0.0502
175,Que Mas Pues - Remix,Justin Quiles,-5.027,0.195
176,The London (feat. J. Cole & Travis Scott),Young Thug,-8.981,0.209
177,Something Just Like This,The Chainsmokers,-6.769,0.0317
178,HP,Maluma,-3.157,0.0773
179,you should see me in a crown,Billie Eilish,-10.485,0.186
180,"fuck, i''m lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”",Lauv,-6.46,0.0683
181,Hate Me (with Juice WRLD),Ellie Goulding,-4.628,0.0507
182,Graveyard,Halsey,-5.127,0.0747
183,Tusa,KAROL G,-3.28,0.298
184,Thotiana,Blueface,-12.89,0.269
185,Adictiva,Daddy Yankee,-3.206,0.0563
186,IDGAF,Dua Lipa,-5.975,0.0943
187,Lost In Japan,Shawn Mendes,-6.784,0.374
188,"thank u, next",Ariana Grande,-5.642,0.0658
189,Ransom,Lil Tecca,-6.257,0.287
190,Fantasias,Rauw Alejandro,-4.219,0.0701
191,HP,Maluma,-3.157,0.0773
192,Congratulations,Post Malone,-4.183,0.0363
