year,danceability,energy,speechiness,tempo
1950,0.49143290000000023,0.3249791449999989,0.11818320000000002,111.76848850000005
1951,0.4597661000000001,0.2502602600000002,0.10783399999999999,109.1837115000002
1952,0.46265855,0.25158090999999994,0.16419669999999972,107.59112750000008
1953,0.43623435897435914,0.2653103794871793,0.09605420512820521,109.01417846153858
1954,0.4666299499999997,0.2593611099999999,0.11599510000000017,108.53223700000004
1955,0.49018334999999946,0.28702139499999857,0.10661964999999975,110.39185700000026
1956,0.4848829499999989,0.30629867499999985,0.06405415000000016,111.81448450000008
1957,0.5074333500000001,0.2967475500000004,0.06572104999999975,112.30812399999992
1958,0.48158490000000015,0.31142263499999884,0.057850200000000004,112.86902400000012
1959,0.48886504999999897,0.3167976899999999,0.07184790000000003,112.50610500000015
1960,0.48734330000000026,0.34719966999999957,0.06681045,112.9653540000003
1961,0.489204099999999,0.34330577399999973,0.0622034,112.30638950000008
1962,0.4992031000000006,0.37965700000000047,0.058174350000000104,114.92404900000032
1963,0.4863313999999996,0.37338823499999946,0.05463310000000008,114.54659800000002
1964,0.5065862500000009,0.3974624650000006,0.06515294999999996,115.03863549999996
1965,0.5048521,0.4458306530000005,0.058229599999999986,117.61151850000016
1966,0.5035685999999997,0.47264940499999947,0.055645049999999946,116.31660099999979
1967,0.4984452499999995,0.45221234499999957,0.05105005000000005,117.58251699999995
1968,0.50047985,0.4566692449999997,0.06009780000000003,116.488288
1969,0.4904983500000001,0.4895808300000004,0.05618679999999989,116.95652350000012
1970,0.5093389999999997,0.4970046499999995,0.053002999999999946,117.22864700000027
1971,0.5045193500000007,0.5004508550000006,0.061719999999999844,118.2344644999999
1972,0.5208465000000002,0.5069523999999999,0.05487389999999991,119.24934550000008
1973,0.5135514000000008,0.5348392399999992,0.05758130000000001,120.41936300000005
1974,0.5205289500000002,0.5219019150000002,0.05933695000000011,119.82776199999977
1975,0.5237179999999999,0.5347884449999998,0.06173539999999997,119.09533099999985
1976,0.5328035499999997,0.555976895,0.06503819999999993,121.14746150000006
1977,0.5372936999999991,0.5645162089999992,0.06062369999999992,122.0271205
1978,0.5447832499999998,0.5701419650000018,0.06396509999999996,121.09225299999962
1979,0.5618162999999992,0.5988653649999989,0.06876919999999972,122.94541950000004
